NCBI Accession,Shortcut,Genus
MN548285.2,Avian-CoV,Gammacoronavirus
MN548289.1,Avian-CoV,Gammacoronavirus
MN548288.1,Avian-CoV,Gammacoronavirus
MN548287.1,Avian-CoV,Gammacoronavirus
MN548286.1,Avian-CoV,Gammacoronavirus
NC_001451.1,Avian-CoV,Gammacoronavirus
KX266757.1,Avian-CoV,Gammacoronavirus
HQ850618.1,Avian-CoV,Gammacoronavirus
HQ848267.1,Avian-CoV,Gammacoronavirus
GQ504723.1,Avian-CoV,Gammacoronavirus
GQ504720.1,Avian-CoV,Gammacoronavirus
FJ904721.1,Avian-CoV,Gammacoronavirus
FJ904720.1,Avian-CoV,Gammacoronavirus
FJ904717.1,Avian-CoV,Gammacoronavirus
FJ904714.1,Avian-CoV,Gammacoronavirus
DQ001339.1,Avian-CoV,Gammacoronavirus
DQ001338.1,Avian-CoV,Gammacoronavirus
MW732689.1,Avian-CoV,Gammacoronavirus
MW791835.1,Avian-CoV,Gammacoronavirus
LC716901.1,Avian-CoV,Gammacoronavirus
LC716900.1,Avian-CoV,Gammacoronavirus
ON350837.1,Avian-CoV,Gammacoronavirus
ON350836.1,Avian-CoV,Gammacoronavirus
MW815495.1,Avian-CoV,Gammacoronavirus
MW815494.1,Avian-CoV,Gammacoronavirus
OM912708.1,Avian-CoV,Gammacoronavirus
OM912707.1,Avian-CoV,Gammacoronavirus
OM912706.1,Avian-CoV,Gammacoronavirus
OM912705.1,Avian-CoV,Gammacoronavirus
OM912704.1,Avian-CoV,Gammacoronavirus
OM912703.1,Avian-CoV,Gammacoronavirus
OM912702.1,Avian-CoV,Gammacoronavirus
OM912701.1,Avian-CoV,Gammacoronavirus
OM912700.1,Avian-CoV,Gammacoronavirus
OM912699.1,Avian-CoV,Gammacoronavirus
OM912698.1,Avian-CoV,Gammacoronavirus
OM912697.1,Avian-CoV,Gammacoronavirus
OM912696.1,Avian-CoV,Gammacoronavirus
OM912695.1,Avian-CoV,Gammacoronavirus
OM912694.1,Avian-CoV,Gammacoronavirus
OM912693.1,Avian-CoV,Gammacoronavirus
OM912692.1,Avian-CoV,Gammacoronavirus
OM912691.1,Avian-CoV,Gammacoronavirus
OM912690.1,Avian-CoV,Gammacoronavirus
OM912689.1,Avian-CoV,Gammacoronavirus
OM912688.1,Avian-CoV,Gammacoronavirus
OM912687.1,Avian-CoV,Gammacoronavirus
OM912686.1,Avian-CoV,Gammacoronavirus
OM912685.1,Avian-CoV,Gammacoronavirus
OM912684.1,Avian-CoV,Gammacoronavirus
OM912683.1,Avian-CoV,Gammacoronavirus
OM912682.1,Avian-CoV,Gammacoronavirus
OM912681.1,Avian-CoV,Gammacoronavirus
OM912680.1,Avian-CoV,Gammacoronavirus
OM912679.1,Avian-CoV,Gammacoronavirus
OM912678.1,Avian-CoV,Gammacoronavirus
OM912677.1,Avian-CoV,Gammacoronavirus
OM912676.1,Avian-CoV,Gammacoronavirus
LC683780.1,Avian-CoV,Gammacoronavirus
LC683779.1,Avian-CoV,Gammacoronavirus
MK972912.1,Avian-CoV,Gammacoronavirus
MK972911.1,Avian-CoV,Gammacoronavirus
MK990813.1,Avian-CoV,Gammacoronavirus
MK990812.1,Avian-CoV,Gammacoronavirus
MK990811.1,Avian-CoV,Gammacoronavirus
MK990809.1,Avian-CoV,Gammacoronavirus
MK990808.1,Avian-CoV,Gammacoronavirus
MK982928.1,Avian-CoV,Gammacoronavirus
MK982927.1,Avian-CoV,Gammacoronavirus
MK778364.1,Avian-CoV,Gammacoronavirus
NC_048214.1,Avian-CoV,Gammacoronavirus
MZ327724.1,Avian-CoV,Gammacoronavirus
MZ327723.1,Avian-CoV,Gammacoronavirus
LC634083.1,Avian-CoV,Gammacoronavirus
MT665806.1,Avian-CoV,Gammacoronavirus
MW792514.1,Avian-CoV,Gammacoronavirus
MW792513.1,Avian-CoV,Gammacoronavirus
MW792512.1,Avian-CoV,Gammacoronavirus
MW792511.1,Avian-CoV,Gammacoronavirus
MW446888.1,Avian-CoV,Gammacoronavirus
MW446887.1,Avian-CoV,Gammacoronavirus
MW436705.1,Avian-CoV,Gammacoronavirus
MW436704.1,Avian-CoV,Gammacoronavirus
MW429062.1,Avian-CoV,Gammacoronavirus
MW429061.1,Avian-CoV,Gammacoronavirus
MW429060.1,Avian-CoV,Gammacoronavirus
MW429059.1,Avian-CoV,Gammacoronavirus
MW419300.1,Avian-CoV,Gammacoronavirus
MW248465.1,Avian-CoV,Gammacoronavirus
MW222181.1,Avian-CoV,Gammacoronavirus
MT978193.1,Avian-CoV,Gammacoronavirus
MK878536.1,Avian-CoV,Gammacoronavirus
MT701511.1,Avian-CoV,Gammacoronavirus
MT563407.1,Avian-CoV,Gammacoronavirus
MT176422.1,Avian-CoV,Gammacoronavirus
MT176421.1,Avian-CoV,Gammacoronavirus
MT591566.1,Avian-CoV,Gammacoronavirus
MT460496.1,Avian-CoV,Gammacoronavirus
MN199464.1,Avian-CoV,Gammacoronavirus
MN987231.1,Avian-CoV,Gammacoronavirus
MN987230.1,Avian-CoV,Gammacoronavirus
MK957245.1,Avian-CoV,Gammacoronavirus
MK953937.1,Avian-CoV,Gammacoronavirus
MN531556.1,Avian-CoV,Gammacoronavirus
MN531555.1,Avian-CoV,Gammacoronavirus
MN531554.1,Avian-CoV,Gammacoronavirus
MN517817.1,Avian-CoV,Gammacoronavirus
MN517816.1,Avian-CoV,Gammacoronavirus
MN509589.1,Avian-CoV,Gammacoronavirus
MN509588.1,Avian-CoV,Gammacoronavirus
MN509587.1,Avian-CoV,Gammacoronavirus
NC_048213.1,Avian-CoV,Gammacoronavirus
MN794188.1,Avian-CoV,Gammacoronavirus
MN307884.1,Avian-CoV,Gammacoronavirus
MN128088.1,Avian-CoV,Gammacoronavirus
MN128087.1,Avian-CoV,Gammacoronavirus
MN128086.1,Avian-CoV,Gammacoronavirus
MK581208.1,Avian-CoV,Gammacoronavirus
MK581207.1,Avian-CoV,Gammacoronavirus
MK581205.1,Avian-CoV,Gammacoronavirus
MK581204.1,Avian-CoV,Gammacoronavirus
MK581203.1,Avian-CoV,Gammacoronavirus
MK581202.1,Avian-CoV,Gammacoronavirus
MK581201.1,Avian-CoV,Gammacoronavirus
MK581200.1,Avian-CoV,Gammacoronavirus
KT886454.1,Avian-CoV,Gammacoronavirus
MN512438.1,Avian-CoV,Gammacoronavirus
MN512437.1,Avian-CoV,Gammacoronavirus
MN512436.1,Avian-CoV,Gammacoronavirus
MN512435.1,Avian-CoV,Gammacoronavirus
MN512434.1,Avian-CoV,Gammacoronavirus
MN096598.1,Avian-CoV,Gammacoronavirus
MK937833.1,Avian-CoV,Gammacoronavirus
MK937832.1,Avian-CoV,Gammacoronavirus
MK937831.1,Avian-CoV,Gammacoronavirus
MK937830.1,Avian-CoV,Gammacoronavirus
MK937829.1,Avian-CoV,Gammacoronavirus
MK937828.1,Avian-CoV,Gammacoronavirus
MK574043.1,Avian-CoV,Gammacoronavirus
MK574042.1,Avian-CoV,Gammacoronavirus
MK423877.1,Avian-CoV,Gammacoronavirus
MK423876.1,Avian-CoV,Gammacoronavirus
MK217375.1,Avian-CoV,Gammacoronavirus
MK217374.1,Avian-CoV,Gammacoronavirus
MK217373.1,Avian-CoV,Gammacoronavirus
MK217372.1,Avian-CoV,Gammacoronavirus
MK142676.1,Avian-CoV,Gammacoronavirus
MK728875.1,Avian-CoV,Gammacoronavirus
KY047602.1,Avian-CoV,Gammacoronavirus
MH878976.1,Avian-CoV,Gammacoronavirus
MH181793.1,Avian-CoV,Gammacoronavirus
MG738155.1,Avian-CoV,Gammacoronavirus
MG738154.1,Avian-CoV,Gammacoronavirus
MH539772.1,Avian-CoV,Gammacoronavirus
MH539771.1,Avian-CoV,Gammacoronavirus
MK032181.1,Avian-CoV,Gammacoronavirus
MK032180.1,Avian-CoV,Gammacoronavirus
MK032179.1,Avian-CoV,Gammacoronavirus
MK032178.1,Avian-CoV,Gammacoronavirus
MK032177.1,Avian-CoV,Gammacoronavirus
MH924835.1,Avian-CoV,Gammacoronavirus
MF924724.1,Avian-CoV,Gammacoronavirus
JF893452.2,Avian-CoV,Gammacoronavirus
MG517474.1,Avian-CoV,Gammacoronavirus
MH020185.1,Avian-CoV,Gammacoronavirus
MH779860.1,Avian-CoV,Gammacoronavirus
MH779859.1,Avian-CoV,Gammacoronavirus
MH779858.1,Avian-CoV,Gammacoronavirus
MH779857.1,Avian-CoV,Gammacoronavirus
MG197727.1,Avian-CoV,Gammacoronavirus
MG021194.1,Avian-CoV,Gammacoronavirus
MF508703.1,Avian-CoV,Gammacoronavirus
MG448607.1,Avian-CoV,Gammacoronavirus
KY799582.1,Avian-CoV,Gammacoronavirus
KY776701.1,Avian-CoV,Gammacoronavirus
KY776700.1,Avian-CoV,Gammacoronavirus
MF882923.1,Avian-CoV,Gammacoronavirus
MF421319.1,Avian-CoV,Gammacoronavirus
KY805846.1,Avian-CoV,Gammacoronavirus
KY805845.1,Avian-CoV,Gammacoronavirus
KU900744.1,Avian-CoV,Gammacoronavirus
KU900743.1,Avian-CoV,Gammacoronavirus
KU900742.1,Avian-CoV,Gammacoronavirus
KU900741.1,Avian-CoV,Gammacoronavirus
KU900740.1,Avian-CoV,Gammacoronavirus
KU900739.1,Avian-CoV,Gammacoronavirus
KU900738.1,Avian-CoV,Gammacoronavirus
KX364300.1,Avian-CoV,Gammacoronavirus
KX364299.1,Avian-CoV,Gammacoronavirus
KX364298.1,Avian-CoV,Gammacoronavirus
KX364297.1,Avian-CoV,Gammacoronavirus
KX364296.1,Avian-CoV,Gammacoronavirus
KX364295.1,Avian-CoV,Gammacoronavirus
KX364294.1,Avian-CoV,Gammacoronavirus
KX364293.1,Avian-CoV,Gammacoronavirus
KX364292.1,Avian-CoV,Gammacoronavirus
KX364291.1,Avian-CoV,Gammacoronavirus
KX364290.1,Avian-CoV,Gammacoronavirus
KY620116.1,Avian-CoV,Gammacoronavirus
KY407558.1,Avian-CoV,Gammacoronavirus
KY407557.1,Avian-CoV,Gammacoronavirus
KY407556.1,Avian-CoV,Gammacoronavirus
KX640829.1,Avian-CoV,Gammacoronavirus
KX434790.1,Avian-CoV,Gammacoronavirus
KX434789.1,Avian-CoV,Gammacoronavirus
KX434788.1,Avian-CoV,Gammacoronavirus
KX425847.1,Avian-CoV,Gammacoronavirus
KX400753.1,Avian-CoV,Gammacoronavirus
KX389094.1,Avian-CoV,Gammacoronavirus
KX375808.1,Avian-CoV,Gammacoronavirus
KX375807.1,Avian-CoV,Gammacoronavirus
KX375806.1,Avian-CoV,Gammacoronavirus
KX375805.1,Avian-CoV,Gammacoronavirus
KX372250.1,Avian-CoV,Gammacoronavirus
KX372249.1,Avian-CoV,Gammacoronavirus
KX259257.1,Avian-CoV,Gammacoronavirus
KX259256.1,Avian-CoV,Gammacoronavirus
KX259255.1,Avian-CoV,Gammacoronavirus
KX259254.1,Avian-CoV,Gammacoronavirus
KX259253.1,Avian-CoV,Gammacoronavirus
KX259252.1,Avian-CoV,Gammacoronavirus
KX259251.1,Avian-CoV,Gammacoronavirus
KX259250.1,Avian-CoV,Gammacoronavirus
KX259249.1,Avian-CoV,Gammacoronavirus
KX259248.1,Avian-CoV,Gammacoronavirus
KX275394.1,Avian-CoV,Gammacoronavirus
KX275393.1,Avian-CoV,Gammacoronavirus
KX275392.1,Avian-CoV,Gammacoronavirus
KX275391.1,Avian-CoV,Gammacoronavirus
KX275390.1,Avian-CoV,Gammacoronavirus
KX302875.1,Avian-CoV,Gammacoronavirus
KX302874.1,Avian-CoV,Gammacoronavirus
KX302873.1,Avian-CoV,Gammacoronavirus
KX302872.1,Avian-CoV,Gammacoronavirus
KX302871.1,Avian-CoV,Gammacoronavirus
KX302870.1,Avian-CoV,Gammacoronavirus
KX302869.1,Avian-CoV,Gammacoronavirus
KX302868.1,Avian-CoV,Gammacoronavirus
KX302867.1,Avian-CoV,Gammacoronavirus
KX302866.1,Avian-CoV,Gammacoronavirus
KX302865.1,Avian-CoV,Gammacoronavirus
KX302864.1,Avian-CoV,Gammacoronavirus
KX302863.1,Avian-CoV,Gammacoronavirus
KX302862.1,Avian-CoV,Gammacoronavirus
KX302861.1,Avian-CoV,Gammacoronavirus
KX302860.1,Avian-CoV,Gammacoronavirus
KX236016.1,Avian-CoV,Gammacoronavirus
KX236015.1,Avian-CoV,Gammacoronavirus
KX236014.1,Avian-CoV,Gammacoronavirus
KX236013.1,Avian-CoV,Gammacoronavirus
KX236012.1,Avian-CoV,Gammacoronavirus
KX236011.1,Avian-CoV,Gammacoronavirus
KX236010.1,Avian-CoV,Gammacoronavirus
KX236009.1,Avian-CoV,Gammacoronavirus
KX236008.1,Avian-CoV,Gammacoronavirus
KX236007.1,Avian-CoV,Gammacoronavirus
KX236006.1,Avian-CoV,Gammacoronavirus
KX236005.1,Avian-CoV,Gammacoronavirus
KX236004.1,Avian-CoV,Gammacoronavirus
KX236003.1,Avian-CoV,Gammacoronavirus
KX236002.1,Avian-CoV,Gammacoronavirus
KX236001.1,Avian-CoV,Gammacoronavirus
KX236000.1,Avian-CoV,Gammacoronavirus
KX252791.1,Avian-CoV,Gammacoronavirus
KX252790.1,Avian-CoV,Gammacoronavirus
KX252789.1,Avian-CoV,Gammacoronavirus
KX252788.1,Avian-CoV,Gammacoronavirus
KX252787.1,Avian-CoV,Gammacoronavirus
KX252786.1,Avian-CoV,Gammacoronavirus
KX252785.1,Avian-CoV,Gammacoronavirus
KX252784.1,Avian-CoV,Gammacoronavirus
KX252783.1,Avian-CoV,Gammacoronavirus
KX252782.1,Avian-CoV,Gammacoronavirus
KX252781.1,Avian-CoV,Gammacoronavirus
KX252780.1,Avian-CoV,Gammacoronavirus
KX252779.1,Avian-CoV,Gammacoronavirus
KX252778.1,Avian-CoV,Gammacoronavirus
KX252777.1,Avian-CoV,Gammacoronavirus
KX252776.1,Avian-CoV,Gammacoronavirus
KX252775.1,Avian-CoV,Gammacoronavirus
KX252774.1,Avian-CoV,Gammacoronavirus
KX252773.1,Avian-CoV,Gammacoronavirus
KX252772.1,Avian-CoV,Gammacoronavirus
KX272465.1,Avian-CoV,Gammacoronavirus
KX185059.1,Avian-CoV,Gammacoronavirus
KX185058.1,Avian-CoV,Gammacoronavirus
KX185057.1,Avian-CoV,Gammacoronavirus
KX185056.1,Avian-CoV,Gammacoronavirus
KX247130.1,Avian-CoV,Gammacoronavirus
KX247129.1,Avian-CoV,Gammacoronavirus
KX247128.1,Avian-CoV,Gammacoronavirus
KX247127.1,Avian-CoV,Gammacoronavirus
KX219801.1,Avian-CoV,Gammacoronavirus
KX219800.1,Avian-CoV,Gammacoronavirus
KX219799.1,Avian-CoV,Gammacoronavirus
KX219798.1,Avian-CoV,Gammacoronavirus
KX219797.1,Avian-CoV,Gammacoronavirus
KX219796.1,Avian-CoV,Gammacoronavirus
KX219795.1,Avian-CoV,Gammacoronavirus
KX219794.1,Avian-CoV,Gammacoronavirus
KX219793.1,Avian-CoV,Gammacoronavirus
KX219792.1,Avian-CoV,Gammacoronavirus
KX219791.1,Avian-CoV,Gammacoronavirus
KX348117.1,Avian-CoV,Gammacoronavirus
KX348116.1,Avian-CoV,Gammacoronavirus
KX348115.1,Avian-CoV,Gammacoronavirus
KX348114.1,Avian-CoV,Gammacoronavirus
KX077987.1,Avian-CoV,Gammacoronavirus
HM245924.1,Avian-CoV,Gammacoronavirus
HM245923.1,Avian-CoV,Gammacoronavirus
KU361188.1,Avian-CoV,Gammacoronavirus
KU361187.1,Avian-CoV,Gammacoronavirus
KJ435286.1,Avian-CoV,Gammacoronavirus
KJ435285.1,Avian-CoV,Gammacoronavirus
KJ435284.1,Avian-CoV,Gammacoronavirus
KJ435283.1,Avian-CoV,Gammacoronavirus
KJ425512.1,Avian-CoV,Gammacoronavirus
KJ425511.1,Avian-CoV,Gammacoronavirus
KJ425510.1,Avian-CoV,Gammacoronavirus
KJ425509.1,Avian-CoV,Gammacoronavirus
KJ425508.1,Avian-CoV,Gammacoronavirus
KJ425507.1,Avian-CoV,Gammacoronavirus
KJ425506.1,Avian-CoV,Gammacoronavirus
KJ425505.1,Avian-CoV,Gammacoronavirus
KJ425504.1,Avian-CoV,Gammacoronavirus
KJ425503.1,Avian-CoV,Gammacoronavirus
KJ425502.1,Avian-CoV,Gammacoronavirus
KJ425501.1,Avian-CoV,Gammacoronavirus
KJ425500.1,Avian-CoV,Gammacoronavirus
KJ425499.1,Avian-CoV,Gammacoronavirus
KJ425498.1,Avian-CoV,Gammacoronavirus
KJ425497.1,Avian-CoV,Gammacoronavirus
KJ425496.1,Avian-CoV,Gammacoronavirus
KJ425495.1,Avian-CoV,Gammacoronavirus
KJ425494.1,Avian-CoV,Gammacoronavirus
KJ425493.1,Avian-CoV,Gammacoronavirus
KJ425492.1,Avian-CoV,Gammacoronavirus
KJ425491.1,Avian-CoV,Gammacoronavirus
KJ425490.1,Avian-CoV,Gammacoronavirus
KJ425489.1,Avian-CoV,Gammacoronavirus
KJ425488.1,Avian-CoV,Gammacoronavirus
KJ425487.1,Avian-CoV,Gammacoronavirus
KJ425486.1,Avian-CoV,Gammacoronavirus
KJ425485.1,Avian-CoV,Gammacoronavirus
KU317090.1,Avian-CoV,Gammacoronavirus
KU356856.1,Avian-CoV,Gammacoronavirus
KT946798.1,Avian-CoV,Gammacoronavirus
KT736032.1,Avian-CoV,Gammacoronavirus
KT736031.1,Avian-CoV,Gammacoronavirus
KR608272.1,Avian-CoV,Gammacoronavirus
KT852992.1,Avian-CoV,Gammacoronavirus
KR231009.1,Avian-CoV,Gammacoronavirus
KM586818.1,Avian-CoV,Gammacoronavirus
KT203557.1,Avian-CoV,Gammacoronavirus
KP868573.1,Avian-CoV,Gammacoronavirus
KP868572.1,Avian-CoV,Gammacoronavirus
KP780179.1,Avian-CoV,Gammacoronavirus
KP790146.1,Avian-CoV,Gammacoronavirus
KP790145.1,Avian-CoV,Gammacoronavirus
KP790144.1,Avian-CoV,Gammacoronavirus
KP790143.1,Avian-CoV,Gammacoronavirus
KP662631.1,Avian-CoV,Gammacoronavirus
KP036502.1,Avian-CoV,Gammacoronavirus
KP343691.1,Avian-CoV,Gammacoronavirus
KM213963.1,Avian-CoV,Gammacoronavirus
KF931628.1,Avian-CoV,Gammacoronavirus
KF460437.1,Avian-CoV,Gammacoronavirus
KP118893.1,Avian-CoV,Gammacoronavirus
KP118892.1,Avian-CoV,Gammacoronavirus
KP118891.1,Avian-CoV,Gammacoronavirus
KP118890.1,Avian-CoV,Gammacoronavirus
KP118889.1,Avian-CoV,Gammacoronavirus
KP118888.1,Avian-CoV,Gammacoronavirus
KP118887.1,Avian-CoV,Gammacoronavirus
KP118886.1,Avian-CoV,Gammacoronavirus
KP118885.1,Avian-CoV,Gammacoronavirus
KP118884.1,Avian-CoV,Gammacoronavirus
KP118883.1,Avian-CoV,Gammacoronavirus
KP118882.1,Avian-CoV,Gammacoronavirus
KP118881.1,Avian-CoV,Gammacoronavirus
KP118880.1,Avian-CoV,Gammacoronavirus
KP118894.1,Avian-CoV,Gammacoronavirus
KP036505.1,Avian-CoV,Gammacoronavirus
KP036504.1,Avian-CoV,Gammacoronavirus
KP036503.1,Avian-CoV,Gammacoronavirus
KC506155.1,Avian-CoV,Gammacoronavirus
KJ135013.1,Avian-CoV,Gammacoronavirus
KF696629.1,Avian-CoV,Gammacoronavirus
KF668605.1,Avian-CoV,Gammacoronavirus
KF663561.1,Avian-CoV,Gammacoronavirus
KF663560.1,Avian-CoV,Gammacoronavirus
KF411041.1,Avian-CoV,Gammacoronavirus
KF411040.1,Avian-CoV,Gammacoronavirus
KF574761.1,Avian-CoV,Gammacoronavirus
KF377577.1,Avian-CoV,Gammacoronavirus
JQ977698.1,Avian-CoV,Gammacoronavirus
FN430415.1,Avian-CoV,Gammacoronavirus
JF828981.1,Avian-CoV,Gammacoronavirus
JF828980.1,Avian-CoV,Gammacoronavirus
KC136209.1,Avian-CoV,Gammacoronavirus
JX195176.1,Avian-CoV,Gammacoronavirus
JX897900.1,Avian-CoV,Gammacoronavirus
KC119407.1,Avian-CoV,Gammacoronavirus
KC013541.1,Avian-CoV,Gammacoronavirus
JX840411.1,Avian-CoV,Gammacoronavirus
JX195178.1,Avian-CoV,Gammacoronavirus
JX195177.1,Avian-CoV,Gammacoronavirus
JF274479.2,Avian-CoV,Gammacoronavirus
JQ088078.1,Avian-CoV,Gammacoronavirus
JF330899.1,Avian-CoV,Gammacoronavirus
JF330898.1,Avian-CoV,Gammacoronavirus
JF732903.1,Avian-CoV,Gammacoronavirus
GU393338.1,Avian-CoV,Gammacoronavirus
GU393337.1,Avian-CoV,Gammacoronavirus
GU393336.1,Avian-CoV,Gammacoronavirus
GU393335.1,Avian-CoV,Gammacoronavirus
GU393334.1,Avian-CoV,Gammacoronavirus
GU393333.1,Avian-CoV,Gammacoronavirus
GU393332.1,Avian-CoV,Gammacoronavirus
GU393331.1,Avian-CoV,Gammacoronavirus
JF705860.1,Avian-CoV,Gammacoronavirus
AY319651.1,Avian-CoV,Gammacoronavirus
FJ888351.1,Avian-CoV,Gammacoronavirus
DQ646405.2,Avian-CoV,Gammacoronavirus
AY851295.1,Avian-CoV,Gammacoronavirus
DQ834384.1,Avian-CoV,Gammacoronavirus
AY646283.1,Avian-CoV,Gammacoronavirus
FN430414.1,Avian-CoV,Gammacoronavirus
EU817497.1,Avian-CoV,Gammacoronavirus
EU714029.1,Avian-CoV,Gammacoronavirus
EU714028.1,Avian-CoV,Gammacoronavirus
EU418976.1,Avian-CoV,Gammacoronavirus
EU418975.1,Avian-CoV,Gammacoronavirus
DQ288927.1,Avian-CoV,Gammacoronavirus
FJ807652.1,Avian-CoV,Gammacoronavirus
EU526388.1,Avian-CoV,Gammacoronavirus
EU022526.1,Avian-CoV,Gammacoronavirus
EU022525.1,Avian-CoV,Gammacoronavirus
EU637854.1,Avian-CoV,Gammacoronavirus
AY641576.1,Avian-CoV,Gammacoronavirus
U00735.2,Bovine-CoV,Betacoronavirus
ON792964.1,Bovine-CoV,Betacoronavirus
ON792962.1,Bovine-CoV,Betacoronavirus
ON792961.1,Bovine-CoV,Betacoronavirus
ON792960.1,Bovine-CoV,Betacoronavirus
ON792959.1,Bovine-CoV,Betacoronavirus
ON792958.1,Bovine-CoV,Betacoronavirus
ON792957.1,Bovine-CoV,Betacoronavirus
ON792956.1,Bovine-CoV,Betacoronavirus
ON792955.1,Bovine-CoV,Betacoronavirus
ON792954.1,Bovine-CoV,Betacoronavirus
ON792953.1,Bovine-CoV,Betacoronavirus
ON792952.1,Bovine-CoV,Betacoronavirus
ON792963.1,Bovine-CoV,Betacoronavirus
ON792951.1,Bovine-CoV,Betacoronavirus
ON792950.1,Bovine-CoV,Betacoronavirus
ON792949.1,Bovine-CoV,Betacoronavirus
ON792948.1,Bovine-CoV,Betacoronavirus
ON792947.1,Bovine-CoV,Betacoronavirus
ON792946.1,Bovine-CoV,Betacoronavirus
ON792945.1,Bovine-CoV,Betacoronavirus
ON792944.1,Bovine-CoV,Betacoronavirus
ON792943.1,Bovine-CoV,Betacoronavirus
ON792942.1,Bovine-CoV,Betacoronavirus
ON792941.1,Bovine-CoV,Betacoronavirus
ON146444.1,Bovine-CoV,Betacoronavirus
LC642814.1,Bovine-CoV,Betacoronavirus
MW711287.1,Bovine-CoV,Betacoronavirus
MH043955.1,Bovine-CoV,Betacoronavirus
MH043954.1,Bovine-CoV,Betacoronavirus
MH043953.1,Bovine-CoV,Betacoronavirus
MH043952.1,Bovine-CoV,Betacoronavirus
AF220295.1,Bovine-CoV,Betacoronavirus
ON093194.1,Bovine-CoV,Betacoronavirus
MN982199.1,Bovine-CoV,Betacoronavirus
MN982198.1,Bovine-CoV,Betacoronavirus
NC_003045.1,Bovine-CoV,Betacoronavirus
LC494178.1,Bovine-CoV,Betacoronavirus
LC494177.1,Bovine-CoV,Betacoronavirus
LC494176.1,Bovine-CoV,Betacoronavirus
LC494175.1,Bovine-CoV,Betacoronavirus
LC494174.1,Bovine-CoV,Betacoronavirus
LC494173.1,Bovine-CoV,Betacoronavirus
LC494172.1,Bovine-CoV,Betacoronavirus
LC494171.1,Bovine-CoV,Betacoronavirus
LC494170.1,Bovine-CoV,Betacoronavirus
LC494169.1,Bovine-CoV,Betacoronavirus
LC494168.1,Bovine-CoV,Betacoronavirus
LC494167.1,Bovine-CoV,Betacoronavirus
LC494166.1,Bovine-CoV,Betacoronavirus
LC494165.1,Bovine-CoV,Betacoronavirus
LC494164.1,Bovine-CoV,Betacoronavirus
LC494163.1,Bovine-CoV,Betacoronavirus
LC494162.1,Bovine-CoV,Betacoronavirus
LC494161.1,Bovine-CoV,Betacoronavirus
LC494160.1,Bovine-CoV,Betacoronavirus
LC494159.1,Bovine-CoV,Betacoronavirus
LC494158.1,Bovine-CoV,Betacoronavirus
LC494157.1,Bovine-CoV,Betacoronavirus
LC494156.1,Bovine-CoV,Betacoronavirus
LC494155.1,Bovine-CoV,Betacoronavirus
LC494154.1,Bovine-CoV,Betacoronavirus
LC494153.1,Bovine-CoV,Betacoronavirus
LC494152.1,Bovine-CoV,Betacoronavirus
LC494151.1,Bovine-CoV,Betacoronavirus
LC494150.1,Bovine-CoV,Betacoronavirus
LC494149.1,Bovine-CoV,Betacoronavirus
LC494148.1,Bovine-CoV,Betacoronavirus
LC494147.1,Bovine-CoV,Betacoronavirus
LC494146.1,Bovine-CoV,Betacoronavirus
LC494144.1,Bovine-CoV,Betacoronavirus
LC494143.1,Bovine-CoV,Betacoronavirus
LC494142.1,Bovine-CoV,Betacoronavirus
LC494141.1,Bovine-CoV,Betacoronavirus
LC494140.1,Bovine-CoV,Betacoronavirus
LC494139.1,Bovine-CoV,Betacoronavirus
